instance_name,knapsack_size,bias,depth,capweight,T,remaining_value_ratio,global_cost,optimal_global_iterations_classically,global_statistics,to_optimality_global,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,optimal_nested_cost,optimal_global_cost,to_optimality_nested,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,to_optimality_cut,global_gatecost,nested_gatecost,cut_gatecost,greedy_is_optimal
n23_r400_S75_i70_uncorrelated,23,0,2,0.9209750344014154,-1,-1.0,105248,[928],"[[0, 0, 0, 0, 1, 0, 2, 0, 3, 0, 2, 4, 1, 0, 1, 0, 1, 11, 14, 18, 10, 23, 49, 65, 5, 78, 40, 82, 90, 117, 207, 264, 210, 126, 423, 423]]",True,134301,[1],[928],[0],"[[0, 0]]","[[1, 2, 2, 2, 1, 3, 0, 3, 0, 4, 1, 4, 8, 1, 13, 8, 8, 12, 13, 0, 25, 16, 25, 61, 67, 7, 94, 21, 49, 89, 18, 126, 40, 70, 474, 8, 8, 808, 808]]",50139,42711,True,99529.7698249987,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 1, 2, 1, 2, 1, 4, 4, 3, 0, 1, 7, 5, 0, 13, 6, 19, 17, 6, 9, 1, 3, 65, 48, 43, 96, 124, 19, 178, 96, 2, 235, 150, 491, 491]]",[0],[1137],True,30565592,40066558,36247934,False
n23_r400_S75_i70_uncorrelated,23,0,4,0.9209750344014154,-1,-1.0,53153,[928],"[[0, 0, 0, 1, 0, 1, 1, 1, 4, 4, 2, 6, 0, 5, 3, 14, 9, 21, 14, 23, 7, 7, 2, 48, 49, 39, 109, 95, 0, 86, 184, 202, 202]]",True,24569,[3],[243],[2],"[[0, 0, 0, 0, 2, 2, 2, 2, 2]]","[[0, 0, 1, 0, 0, 1, 0, 0, 3, 3, 2, 3, 2, 6, 5, 8, 0, 4, 8, 5, 4, 11, 26, 3, 35, 22, 65, 41, 41]]",22889,42711,True,130796.7698249987,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 0, 0, 1, 1, 0, 3, 2, 4, 1, 6, 9, 0, 0, 10, 2, 11, 2, 11, 34, 11, 33, 58, 38, 2, 8, 78, 104, 104, 55, 237, 101, 101, 111, 107, 132, 722, 722]]",[0],[1137],True,15435566,7892833,48995078,False
n23_r400_S75_i70_uncorrelated,23,0,6,0.9209750344014154,-1,-1.0,112976,[928],"[[0, 0, 1, 0, 1, 0, 1, 3, 0, 3, 1, 6, 6, 1, 9, 0, 3, 2, 26, 22, 13, 45, 1, 8, 58, 68, 7, 82, 71, 84, 93, 105, 64, 0, 186, 387, 540, 540]]",True,103319,[6],[928],[0],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","[[1, 1, 2, 1, 3, 3, 1, 4, 3, 0, 1, 5, 9, 11, 0, 12, 6, 4, 15, 3, 15, 46, 50, 18, 7, 72, 99, 8, 104, 97, 133, 141, 7, 38, 246, 530, 530]]",176415,42711,True,69557.7698249987,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 1, 1, 3, 3, 3, 3, 2, 5, 5, 2, 4, 10, 6, 9, 10, 10, 24, 11, 21, 31, 56, 28, 24, 77, 40, 113, 149, 135, 95, 159, 226, 226]]",[0],[1137],True,32809956,30824964,25566533,False
n23_r400_S75_i70_uncorrelated,23,0,9,0.9209750344014154,-1,-1.0,23598,[928],"[[0, 1, 1, 1, 0, 0, 1, 3, 3, 0, 1, 3, 7, 3, 0, 11, 12, 18, 19, 24, 35, 42, 15, 42, 48, 91, 59, 59]]",True,5201,[17],[60],[0],"[[0, 0, 0, 0, 1, 1, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 4, 4, 8, 8]]","[[1, 2, 2, 0, 2, 1, 3, 2, 2, 4, 1, 5, 0, 7, 11, 12, 12]]",39809,42711,True,167759.76982499872,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 1, 1, 1, 1, 2, 3, 1, 4, 2, 7, 7, 3, 3, 15, 4, 15, 3, 18, 17, 17, 56, 67, 4, 8, 85, 12, 48, 80, 116, 17, 288, 29, 26, 158, 86, 279, 125, 1007, 1007]]",[0],[1137],True,6852056,1592160,62555094,False
n23_r400_S75_i70_uncorrelated,23,0,11,0.9209750344014154,-1,-1.0,84088,[928],"[[0, 1, 1, 1, 0, 1, 1, 0, 0, 5, 0, 0, 5, 4, 12, 12, 4, 14, 18, 22, 29, 41, 15, 5, 14, 5, 67, 39, 33, 142, 34, 14, 141, 168, 481, 481]]",True,7544,[35],[50],[0],"[[0, 0, 1, 1, 2, 2, 3, 3, 1, 1, 0, 0, 3, 3, 3, 3, 9, 9, 13, 13, 7, 7, 21, 21, 21, 19, 19, 19, 19, 19, 9, 9]]","[[1, 1, 2, 0, 1, 0, 1, 3, 1, 2, 7, 7]]",80093,42711,True,49572.7698249987,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 1, 1, 0, 0, 0, 5, 7, 0, 4, 2, 7, 16, 11, 4, 23, 32, 4, 1, 1, 58, 44, 87, 37, 115, 97, 34, 72, 26, 184, 184]]",[0],[1137],True,24419992,2356856,18397149,False
n23_r400_S75_i70_uncorrelated,23,0,13,0.9209750344014154,-1,-1.0,160379,[928],"[[0, 0, 1, 0, 2, 2, 0, 1, 2, 2, 0, 3, 7, 9, 0, 10, 12, 10, 24, 15, 4, 39, 10, 14, 26, 46, 106, 51, 63, 60, 79, 76, 48, 396, 445, 207, 359, 669, 669]]",True,110787,[71],[12],[43],"[[0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 4, 4, 5, 5, 5, 9, 9, 9, 9, 6, 6, 8, 8, 6, 6, 24, 24, 24, 22, 22, 32, 32, 32, 34, 34, 34, 43, 43, 43, 43, 43]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 3, 1, 0, 4, 0, 6, 6]]",46725,42711,True,3055400.4441202693,[30],"[[0, 0, 0, 0, 0, 0, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 6, 8, 8, 9, 9, 14, 14, 17, 17, 17, 13, 13, 23, 23, 29, 29, 29, 29, 30, 30, 30, 30, 30]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 5, 1, 5, 1, 0, 2, 2, 9, 2, 26, 10, 27, 18, 22, 19, 13, 91, 80, 90, 107, 143, 34, 192, 247, 247]]",[2],[420],True,46577378,34711657,1015924281,False
n23_r400_S75_i70_uncorrelated,23,0,16,0.9209750344014154,-1,-1.0,32200,[928],"[[0, 0, 1, 0, 2, 0, 0, 2, 1, 5, 2, 3, 8, 8, 9, 9, 18, 7, 3, 26, 6, 25, 11, 1, 67, 88, 30, 79, 137, 137]]",True,53541,[116],[6],[100],"[[0, 0, 1, 1, 2, 2, 1, 1, 1, 1, 3, 3, 1, 1, 9, 9, 10, 10, 6, 6, 8, 8, 14, 14, 14, 26, 26, 16, 16, 12, 12, 17, 17, 30, 30, 18, 18, 35, 35, 88, 88, 88, 88, 30, 30, 100, 100, 100, 100, 100]]","[[0, 0, 0]]",48555,42711,True,287667.27209638065,[38],"[[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 4, 2, 2, 5, 5, 3, 3, 11, 11, 5, 5, 16, 16, 21, 21, 11, 11, 13, 13, 20, 20, 20, 8, 8, 38, 38, 38, 38, 38]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 2, 3, 4, 2, 5, 3, 3, 0, 9, 15, 15]]",[41],[21],True,9350260,16443792,94577930,False
n23_r400_S75_i70_uncorrelated,23,0,18,0.9209750344014154,-1,-1.0,29992,[928],"[[0, 0, 1, 1, 1, 0, 0, 3, 1, 4, 0, 6, 1, 7, 4, 2, 13, 19, 17, 5, 7, 22, 35, 1, 30, 45, 87, 19, 153, 153]]",True,199781,[179],[5],[100],"[[0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 7, 7, 9, 9, 8, 8, 9, 9, 11, 11, 22, 22, 14, 14, 8, 8, 18, 18, 50, 50, 44, 44, 45, 45, 61, 61, 61, 100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]]",71137,42711,True,354405.83268089546,[122],"[[0, 0, 1, 1, 2, 2, 3, 3, 2, 2, 3, 3, 6, 6, 5, 5, 7, 7, 11, 11, 17, 17, 17, 17, 19, 19, 11, 11, 13, 13, 31, 31, 31, 21, 21, 32, 32, 32, 17, 17, 25, 25, 115, 115, 115, 144, 144, 144, 143, 143, 143, 143, 122, 122, 122, 122, 122]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]]",[97],[9],True,8708980,60778586,114157868,False
n11_r400_S51_i38_uncorrelated,11,0,1,0.7303044949250845,-1,-1.0,572,[12],"[[0, 1, 1, 1, 1, 2, 1, 3, 0, 0, 1, 0, 4, 4]]",True,412,[0],[12],[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 0, 1, 3, 2, 2, 2, 2]]",275,275,True,233.07612510952197,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 0, 0, 0, 2, 2]]",[0],[17],True,126251,97513,78557,False
n11_r400_S51_i38_uncorrelated,11,0,2,0.7303044949250845,-1,-1.0,781,[12],"[[0, 1, 1, 1, 2, 1, 2, 0, 3, 0, 4, 7, 7]]",True,384,[0],[12],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 1, 1, 0, 1, 4, 4]]",275,275,True,326.07612510952197,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 2, 0, 3, 3]]",[0],[17],True,172690,90745,115454,False
