instance_name,knapsack_size,bias,depth,capweight,T,remaining_value_ratio,global_cost,optimal_global_iterations_classically,global_statistics,to_optimality_global,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,optimal_nested_cost,optimal_global_cost,to_optimality_nested,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,to_optimality_cut,global_gatecost,nested_gatecost,cut_gatecost,greedy_is_optimal
n13_r400_S53_i43_uncorrelated,13,3.25,1,0.7960281340504758,-1,-1.0,468,[5],"[[0, 1, 0, 0, 1, 1, 2, 0, 4, 4]]",True,174,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 1, 1]]",117,143,True,843.6513235882205,[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0, 0, 1, 3, 1, 2, 2, 7, 7]]",[0],[13],True,103317,40989,283632,False
n13_r400_S53_i43_uncorrelated,13,3.25,2,0.7960281340504758,-1,-1.0,26,[5],"[[0, 0]]",True,294,[0],[4],[0],"[[0, 0, 0, 0]]","[[0, 1, 1, 0, 3, 3]]",117,143,True,874.6513235882205,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 2, 0, 3, 3, 1, 1, 1, 5, 3, 3, 3]]",[0],[11],True,5664,68840,303285,False
n13_r400_S53_i43_uncorrelated,13,3.25,3,0.7960281340504758,-1,-1.0,221,[5],"[[0, 0, 1, 0, 1, 0, 0, 1, 1]]",True,158,[0],[4],[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 2]]",117,143,True,788.6513235882205,[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 1, 2, 1, 3, 3, 2, 4, 0, 3, 3]]",[0],[10],True,48564,37133,259878,False
n13_r400_S53_i43_uncorrelated,13,3.25,5,0.7960281340504758,-1,-1.0,26,[5],"[[0, 0]]",True,285,[0],[3],[0],"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 2, 2, 2]]",91,143,True,967.6513235882205,[0],"[[0, 0, 0, 0, 0]]","[[0, 2, 1, 1, 0, 1, 3, 2, 1, 1, 3, 7, 7]]",[0],[7],True,5664,66560,331235,False
n13_r400_S53_i43_uncorrelated,13,3.25,6,0.7960281340504758,-1,-1.0,273,[5],"[[0, 1, 0, 1, 1, 2, 2]]",True,192,[0],[3],[0],"[[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]]","[[1, 1]]",91,143,True,985.6513235882205,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 2, 2, 0, 0, 4, 1, 2, 0, 1, 7, 7]]",[0],[6],True,60207,45976,333285,False
n13_r400_S53_i43_uncorrelated,13,3.25,7,0.7960281340504758,-1,-1.0,351,[5],"[[0, 1, 1, 1, 0, 2, 0, 2, 2]]",True,464,[0],[2],[2],"[[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0]]",65,143,True,431.6513235882206,[0],"[[0, 0, 0, 0, 0]]","[[1, 2, 0, 2, 2, 2, 2]]",[0],[5],True,77409,112575,145255,False
n13_r400_S53_i43_uncorrelated,13,3.25,9,0.7960281340504758,-1,-1.0,208,[5],"[[0, 1, 0, 0, 2, 2]]",True,1169,[0],[2],[6],"[[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 6, 6, 6, 6, 6]]","[[0, 0]]",65,143,True,1629.7015013996497,[4],"[[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 4, 4, 4, 4, 4]]","[[0, 0, 0, 0, 0, 0, 0]]",[0],[3],True,45837,278004,464932,False
n13_r400_S53_i43_uncorrelated,13,3.25,10,0.7960281340504758,-1,-1.0,117,[5],"[[0, 0, 0, 1, 1]]",True,1379,[0],[2],[4],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 2, 2, 2, 5, 5, 4, 4, 4, 4, 4]]","[[0, 0, 0]]",65,143,True,2793.471355222958,[6],"[[0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 6, 6, 6, 6, 6]]","[[0, 0, 0, 0, 0, 0, 0]]",[0],[2],True,25698,325656,803179,False
n27_r400_S98_i87_uncorrelated,27,6.75,2,0.8786799174948434,-1,-1.0,1566,[9],"[[0, 1, 1, 0, 2, 1, 0, 0, 4, 2, 6, 6]]",True,658,[0],[8],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 1, 2, 2, 2]]",459,513,True,6187.7703330441245,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 1, 1, 1, 0, 2, 3, 3, 1, 0, 6, 1, 11, 11, 18, 3, 20, 20]]",[0],[47],True,444357,191834,2164714,False
n27_r400_S98_i87_uncorrelated,27,6.75,5,0.8786799174948434,-1,-1.0,621,[9],"[[0, 1, 0, 1, 0, 0, 1, 2, 2]]",True,484,[0],[7],[0],"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 2, 2]]",405,513,True,5824.7703330441245,[0],"[[0, 0, 0, 0, 0]]","[[0, 1, 1, 1, 2, 1, 2, 2, 5, 6, 6, 3, 3, 6, 2, 4, 12, 0, 20, 20]]",[0],[34],True,175920,141240,2045113,False
