instance_name,knapsack_size,bias,capweight,threshold_cost,termination_cost_constant,termination_cost_exponent,approximation_ratio_greedy,greedy_is_optimal,global_cost,optimal_global_iterations_classically,global_statistics,approximation_ratio_global,better_than_greedy_global,to_optimality_global,global_stepwise_cost,nested_cost,optimal_inner_iterations_classically,optimal_outer_iterations_classically,optimal_inner_iterations,inner_statistics,outer_statistics,smart_global_statistics,approximation_ratio_nested,better_than_greedy_nested,to_optimality_nested,nested_stepwise_cost,cut_cost,cut_inner_iterations,cut_inner_statistics,cut_outer_statistics,cut_optimal_inner_classically,cut_optimal_outer_classically,approximation_ratio_cut,better_than_greedy_cut,to_optimality_cut,cut_stepwise_cost
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,223606,2500,1.5,0.9798507462686568,False,208170,[],"[[0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 3, 6]]",0.9798507462686568,False,False,[208170],208481,[0],[15],[2],"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 1, 0, 1, 0, 0]]",[],0.9798507462686568,False,False,[208481],199721,[3],"[[0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 3]]",[[0]],[4],[2],0.9798507462686568,False,False,[199721]
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,1000000,2500,2.0,0.9798507462686568,False,899901,[18],"[[0, 1, 1, 0, 1, 2, 1, 2, 3, 2, 3, 2, 7, 7], [0, 0, 1, 1, 0, 0, 1, 1, 1, 3, 3, 7, 0, 2, 9, 15, 12]]",1.0,True,True,"[338554, 561347]",941607,"[0, 0]","[15, 0]","[2, 0]","[[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 2, 0, 2, 2], [0, 0, 0, 2, 2, 0, 2, 1, 5, 0, 7, 4, 4, 4]]",[],1.0,True,True,"[590886, 350721]",987442,"[3, 3]","[[0, 0, 1, 1, 0, 0, 3, 3, 3, 3, 3], [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0]]","[4, 4]","[2, 4]",0.9944029850746269,True,False,"[605839, 381603]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,4472135,2500,2.5,0.9798507462686568,False,4229733,[18],"[[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 3, 6, 5, 9, 9], [0, 0, 0, 1, 2, 1, 0, 3, 3, 4, 1, 4, 3, 3, 5, 7, 0, 20, 26, 16, 25, 20, 11, 59, 6, 52, 104, 51]]",1.0,True,True,"[386348, 3843385]",4263822,"[0, 0]","[15, 0]","[5, 2]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 3, 4, 5, 2, 4, 7, 5, 5], [0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 1, 2, 0, 1, 0, 0, 5, 9, 0, 6, 0, 4, 21, 9]]",[],1.0,True,True,"[2441038, 1822784]",3612070,"[4, 3]","[[0, 0, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4], [0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 4, 2, 6, 3, 1, 14]]","[4, 4]","[2, 0]",1.0,True,True,"[576739, 3035331]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,20000000,2500,3.0,0.9798507462686568,False,17150178,"[18, 25]","[[0, 1, 0, 1, 1, 1, 0, 1, 4, 1, 3, 4, 3, 3, 9, 9], [0, 0, 1, 0, 2, 2], [0, 1, 0, 1, 0, 2, 0, 0, 4, 1, 3, 1, 3, 6, 1, 11, 16, 14, 4, 26, 20, 2, 53, 17, 34, 37, 64, 48, 105, 19, 42, 24, 180, 246, 127, 186, 594]]",1.0,True,True,"[425443, 69324, 16655411]",18350123,"[0, 0, 0]","[15, 18, 0]","[2, 2, 2]","[[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2], [0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 3, 3], [0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 5, 5, 1, 1, 1, 10, 11, 13, 21, 3, 34, 38, 53, 1, 80, 24, 23, 36, 37, 80, 132, 114, 20]]",[],1.0,True,True,"[268195, 469466, 17612462]",19766434,"[3, 4, 5]","[[0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3], [0, 0, 0, 0, 2, 2, 2, 0, 0, 4, 4, 4, 4, 4], [0, 0, 1, 1, 1, 0, 0, 0, 0, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5]]","[[0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 1, 3, 4, 3, 7, 0, 8, 12, 6, 10, 21, 4, 2, 9, 44, 0, 49]]","[4, 4, 4]","[2, 3, 0]",1.0,True,True,"[313348, 838232, 18614854]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,89442719,2500,3.5,0.9798507462686568,False,82912739,[18],"[[0, 1, 0, 0, 1, 1, 1, 2, 4, 5, 0, 6, 2, 3, 8, 13, 13], [0, 0, 1, 1, 0, 2, 2, 2, 1, 5, 3, 2, 8, 2, 0, 1, 5, 22, 19, 4, 25, 38, 36, 1, 21, 55, 65, 44, 6, 141, 166, 9, 307, 83, 6, 277, 77, 11, 182, 246, 1001, 412, 2083, 1162, 2885]]",1.0,True,True,"[595023, 82317716]",84414004,"[0, 0, 0]","[18, 18, 0]","[0, 15, 4]","[[0, 0, 0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 4, 4, 4, 4, 4, 7, 7, 7, 11, 11, 8, 8, 8, 15, 15, 15, 15, 15], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 4, 4]]","[[1, 0, 2, 0, 0, 3, 2, 1, 0, 0, 7, 7], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0, 1, 4, 0, 7, 5, 0, 4, 4], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 2, 5, 2, 9, 11, 12, 10, 7, 3, 10, 30, 3, 20, 57, 1, 39, 8, 76, 53, 85, 128, 210, 201, 299, 280, 419, 132]]",[],1.0,True,True,"[284355, 5688552, 78441097]",88387371,"[3, 3, 3, 3]","[[0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 3, 3, 3, 3, 3], [0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 3, 3, 3, 3, 3], [0, 0, 1, 1, 1, 2, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], [0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 3], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 2, 3, 4, 1, 5, 4, 1, 8, 10, 12, 5, 7, 25, 24, 4, 12, 49, 39, 72, 82, 108, 108, 151, 153, 73, 210, 284]]","[4, 4, 4, 4]","[2, 2, 4, 0]",1.0,True,True,"[484471, 652486, 1236329, 86014085]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,400000000,2500,4.0,0.9798507462686568,False,306756004,[18],"[[0, 1, 0, 1, 1, 2, 2, 1, 0, 1, 1, 5, 7, 7], [0, 0, 0, 0, 1, 0, 0, 3, 1, 4, 1, 5, 4, 3, 5, 9, 14, 7, 12, 23, 31, 35, 3, 48, 45, 46, 86, 25, 48, 27, 35, 199, 81, 396, 104, 498, 176, 821, 915, 804, 693, 1254, 258, 863, 2651, 2954, 443, 3020, 691, 4411, 8224, 5144]]",1.0,True,True,"[312457, 306443547]",398331631,"[0, 0, 0]","[15, 25, 0]","[2, 0, 2]","[[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 4, 4, 4, 3, 3, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 3, 3, 4, 2, 4, 4], [0, 1, 0, 0, 3, 3, 0, 3, 3, 2, 2, 5, 1, 5, 5, 4, 8, 9, 21, 21], [0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 3, 4, 5, 2, 5, 1, 2, 10, 0, 3, 3, 0, 31, 2, 15, 38, 34, 25, 83, 22, 91, 9, 139, 5, 140, 104, 161, 108, 511, 629, 383, 843, 992, 1487, 667, 1897, 156, 2679, 242, 3814, 1982]]",[],1.0,True,True,"[904116, 963218, 396464297]",329136001,"[4, 4, 12]","[[0, 0, 0, 0, 2, 2, 2, 1, 1, 4, 4, 4, 4, 4], [0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 4, 4, 4, 4, 4], [0, 0, 0, 0, 2, 2, 2, 0, 0, 1, 1, 5, 5, 5, 5, 0, 0, 8, 8, 8, 8, 5, 5, 5, 12, 12, 12, 12, 12]]","[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 2, 5, 3, 1, 6, 3, 11, 2, 9, 11, 28, 20, 7, 29, 13, 8, 8, 67, 73, 131, 127, 95, 151, 87, 168, 174, 218, 186]]","[4, 4, 4]","[2, 4, 0]",1.0,True,True,"[559094, 1154505, 327422402]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,1788854381,2500,4.5,0.9798507462686568,False,1749461013,"[18, 22]","[[0, 1, 1, 0, 1, 0, 2, 0, 3, 2, 6, 0, 5, 5], [0, 0, 1, 1, 1, 2, 1, 0, 2, 5, 1, 6, 7, 2, 2], [0, 1, 0, 0, 1, 2, 1, 2, 2, 0, 5, 7, 4, 6, 10, 10, 9, 0, 20, 15, 34, 15, 35, 5, 8, 91, 32, 114, 92, 97, 187, 53, 224, 236, 69, 126, 72, 428, 148, 1051, 62, 111, 1828, 642, 3013, 2534, 1781, 4577, 946, 7235, 8328, 5177, 11791, 2439, 17431, 8800, 22521, 29123, 14444, 3750, 50803]]",1.0,True,True,"[286360, 334402, 1748840251]",1685815660,"[0, 0, 0]","[15, 18, 0]","[2, 2, 2]","[[0, 0, 0, 1, 1, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 4, 4, 5, 5, 5, 5, 7, 7, 7, 5, 5, 5, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 3, 0, 3, 3, 1, 4, 4], [0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 3, 3, 3], [0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 1, 0, 0, 2, 5, 3, 4, 6, 4, 4, 0, 18, 22, 22, 28, 9, 37, 64, 67, 77, 117, 112, 49, 152, 16, 187, 73, 182, 207, 551, 139, 417, 560, 885, 58, 735, 1903, 1468, 172, 1491, 3550, 2244, 5032, 2753, 9407, 4823, 8800, 3195, 8936, 15132]]",[],1.0,True,True,"[761828, 817191, 1684236641]",1729091691,"[4, 2, 21, 5]","[[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 4], [0, 0, 0, 0, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2], [0, 0, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 0, 0, 9, 9, 10, 10, 10, 12, 12, 12, 12, 12, 8, 8, 18, 18, 21, 21, 21, 21, 21], [0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 5, 5, 5, 5, 5]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 3, 4, 4, 6, 6, 7, 5, 7, 2, 24, 3, 13, 5, 10, 38, 0, 25, 17, 73, 47, 124, 199, 194, 231, 38, 98, 238, 131, 794, 375, 13, 312, 275, 254, 1816, 164, 2613, 2955, 894, 1124, 6324]]","[4, 4, 4, 4]","[2, 3, 3, 0]",1.0,True,True,"[614733, 435677, 2964955, 1725076326]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,8000000000,2500,5.0,0.9798507462686568,False,7616592879,"[18, 22]","[[0, 0, 0, 1, 2, 2], [0, 1, 1, 0, 1, 1, 2, 0, 3, 3, 0, 5, 5, 3, 1, 8, 7, 10, 6, 21, 21], [0, 0, 0, 1, 1, 0, 1, 3, 0, 3, 6, 0, 1, 5, 12, 0, 18, 0, 15, 15, 23, 14, 20, 32, 28, 0, 70, 100, 75, 49, 105, 55, 42, 168, 405, 290, 571, 611, 975, 621, 128, 1067, 1008, 1804, 90, 2608, 2517, 2804, 4532, 450, 5063, 974, 6103, 13692, 12644, 14707, 19912, 24382, 15234, 9834, 7616, 59524, 15760, 38824, 92630, 24527, 17191, 62700, 101456, 58567, 99501, 151226]]",1.0,True,True,"[69289, 952272, 7615571318]",6800336605,"[0, 0]","[17, 0]","[7, 2]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 4, 4, 4, 4, 4, 4, 6, 6, 8, 8, 8, 7, 7, 7, 7, 7], [0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 4, 1, 2, 2, 4, 4], [0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 3, 2, 0, 4, 6, 5, 4, 5, 5, 8, 10, 10, 11, 12, 40, 8, 3, 81, 36, 11, 57, 67, 111, 14, 183, 122, 376, 349, 382, 310, 877, 32, 150, 1400, 380, 820, 592, 841, 2790, 1628, 5384, 6028, 5990, 5016, 7442, 12473, 1108, 4455, 11325, 3169, 14822, 18632, 10367, 39440, 54476, 27712, 58070]]",[],1.0,True,True,"[2429321, 6797907284]",6984559710,"[2, 4, 4]","[[0, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2], [0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 2, 2, 4, 4, 4, 4, 4], [0, 0, 0, 0, 2, 2, 2, 0, 0, 1, 1, 0, 0, 2, 2, 8, 8, 6, 6, 3, 3, 3, 4, 4, 4, 4, 4]]","[[0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 1, 0, 3, 2, 3, 2, 3, 5, 11, 0, 16, 26, 19, 21, 36, 12, 56, 51, 65, 101, 44, 117, 87, 243, 190, 111, 158, 172, 255, 630, 618, 1073, 502, 374, 1371, 1364, 279, 2102, 713, 3107, 862, 3085, 220, 1549, 2847, 12896, 2151, 18024, 1267, 749, 23913, 13855]]","[4, 4, 4]","[3, 3, 0]",1.0,True,True,"[346398, 670978, 6983542334]"
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,223606,2500,1.5,0.9798507462686568,False,203717,[18],"[[0, 0, 0, 0, 1, 2, 1, 3, 3], [0, 0, 1, 1, 2, 2]]",0.9843283582089553,True,False,"[125681, 78036]",222826,[0],[15],[2],"[[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]]","[[0, 0, 0, 0, 0, 0, 1, 1, 1]]",[],0.9798507462686568,False,False,[222826],217120,[3],"[[0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3]]","[[0, 0]]",[4],[2],0.9798507462686568,False,False,[217120]
n20_r400_S82_i31_uncorrelated,20,0,0.3733587462939432,1000000,2500,2.0,0.9798507462686568,False,899199,[18],"[[0, 1, 1, 0, 2, 1, 2, 0, 2, 4, 4, 4, 0, 5, 5, 2, 4, 9, 9], [0, 0, 1, 0, 1, 1, 1, 0, 3, 1, 6, 1, 4, 2, 9, 1]]",1.0,True,True,"[560126, 339073]",970422,"[0, 0]","[15, 0]","[2, 0]","[[0, 0, 1, 1, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 4, 5, 5], [0, 2, 1, 1, 0, 0, 2, 2, 2, 4, 4]]",[],1.0,True,True,"[747113, 223309]",982154,[4],"[[0, 0, 1, 1, 0, 0, 2, 2, 2, 4, 4, 4, 4, 4], [0, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3]]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]]",[4],[2],1.0,True,True,[815790]
