dataset,n,hamming
Uncorrelated,10,0
Uncorrelated,10,3
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,2
Uncorrelated,10,0
Uncorrelated,10,2
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,2
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,2
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,2
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,10,0
Uncorrelated,11,3
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,3
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,5
Uncorrelated,11,0
Uncorrelated,11,3
Uncorrelated,11,0
Uncorrelated,11,2
Uncorrelated,11,2
Uncorrelated,11,3
Uncorrelated,11,3
Uncorrelated,11,0
Uncorrelated,11,2
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,5
Uncorrelated,11,0
Uncorrelated,11,2
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,2
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,3
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,11,0
Uncorrelated,12,0
Uncorrelated,12,3
Uncorrelated,12,0
Uncorrelated,12,4
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,2
Uncorrelated,12,4
Uncorrelated,12,2
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,2
Uncorrelated,12,0
Uncorrelated,12,3
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,2
Uncorrelated,12,2
Uncorrelated,12,0
Uncorrelated,12,2
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,3
Uncorrelated,12,3
Uncorrelated,12,0
Uncorrelated,12,3
Uncorrelated,12,4
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,0
Uncorrelated,12,2
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,2
Uncorrelated,13,3
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,2
Uncorrelated,13,3
Uncorrelated,13,3
Uncorrelated,13,3
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,2
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,3
Uncorrelated,13,2
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,2
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,2
Uncorrelated,13,2
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,0
Uncorrelated,13,2
Uncorrelated,13,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,2
Uncorrelated,14,3
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,2
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,3
Uncorrelated,14,2
Uncorrelated,14,3
Uncorrelated,14,0
Uncorrelated,14,3
Uncorrelated,14,2
Uncorrelated,14,0
Uncorrelated,14,2
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,5
Uncorrelated,14,0
Uncorrelated,14,2
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,3
Uncorrelated,14,4
Uncorrelated,14,0
Uncorrelated,14,3
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,3
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,0
Uncorrelated,14,2
Uncorrelated,14,0
Uncorrelated,14,2
Uncorrelated,14,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,3
Uncorrelated,15,0
Uncorrelated,15,2
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,3
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,15,3
Uncorrelated,15,0
Uncorrelated,15,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,4
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,3
Uncorrelated,16,2
Uncorrelated,16,3
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,3
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,2
Uncorrelated,16,0
Uncorrelated,16,2
Uncorrelated,16,2
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,3
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,16,0
Uncorrelated,17,2
Uncorrelated,17,0
Uncorrelated,17,3
Uncorrelated,17,0
Uncorrelated,17,0
Uncorrelated,17,0
Uncorrelated,17,0
Uncorrelated,17,2
Uncorrelated,17,0
Uncorrelated,17,0
Uncorrelated,17,0
Uncorrelated,17,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,4
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,0
Uncorrelated,18,3
Uncorrelated,18,5
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,0
Uncorrelated,18,4
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,2
Uncorrelated,18,3
Uncorrelated,18,4
Uncorrelated,18,4
Uncorrelated,18,3
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,4
Uncorrelated,18,3
Uncorrelated,18,3
Uncorrelated,18,4
Uncorrelated,18,2
Uncorrelated,18,3
Uncorrelated,18,2
Uncorrelated,18,3
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,4
Uncorrelated,18,3
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,4
Uncorrelated,18,2
Uncorrelated,18,2
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,3
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,18,2
Uncorrelated,18,2
Uncorrelated,18,2
Uncorrelated,18,0
Uncorrelated,18,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,3
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,4
Uncorrelated,19,3
Uncorrelated,19,0
Uncorrelated,19,4
Uncorrelated,19,2
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,3
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,5
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,3
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,2
Uncorrelated,19,3
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,3
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,2
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,0
Uncorrelated,19,2
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,4
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,4
Uncorrelated,20,5
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,4
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,5
Uncorrelated,20,3
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,4
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,2
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,0
Uncorrelated,20,3
Uncorrelated,20,3
Uncorrelated,20,2
